Data Set,Duration,Speakers,Overlapping Speech,SNR,File
VoxConverse,20.001,8,1,9,wemos
VoxConverse,3.314,7,1,26,aiqwk
VoxConverse,4.639,10,1,25,ezxso
VoxConverse,0.732,1,0,40,dohag
VoxConverse,20.001,11,14,20,jzkzt
VoxConverse,12.127,2,4,22,ouvtt
VoxConverse,1.813,3,23,20,eguui
VoxConverse,0.686,1,0,5,euqef
VoxConverse,2.746,3,0,44,dzsef
VoxConverse,3.108,4,0,43,dxokr
VoxConverse,2.774,5,9,33,pkwrt
VoxConverse,20.001,6,0,9,xlsme
VoxConverse,20.001,7,0,29,sebyw
VoxConverse,1.369,2,0,17,lubpm
VoxConverse,8.277,2,1,32,mupzb
VoxConverse,4.741,6,0,17,xvxwv
VoxConverse,3.111,11,7,20,xtzoq
VoxConverse,1.333,5,0,30,gyomp
VoxConverse,6.773,2,1,39,kmunk
VoxConverse,20.001,7,0,28,ytula
VoxConverse,7.324,4,14,22,qwepo
VoxConverse,20.001,6,2,26,hqhrb
VoxConverse,2.316,4,1,15,mqtep
VoxConverse,2.284,3,0,20,pccww
VoxConverse,20.001,14,0,13,qxana
VoxConverse,3.274,2,0,15,mxdpo
VoxConverse,20.001,8,0,30,kvkje
VoxConverse,20.001,9,0,9,zowse
VoxConverse,6.096,7,0,21,gcfwp
VoxConverse,19.41,21,5,14,nitgx
VoxConverse,20.001,2,0,36,ylzez
VoxConverse,14.51,9,4,29,ikhje
VoxConverse,6.009,2,6,18,bjruf
VoxConverse,20.001,5,0,23,jwggf
VoxConverse,20.001,7,0,39,swbnm
VoxConverse,20.001,15,2,31,lbfnx
VoxConverse,16.619,9,4,26,optsn
VoxConverse,1.871,6,3,35,gkiki
VoxConverse,20.001,10,0,16,kgjaa
VoxConverse,4.954,7,1,28,ygrip
VoxConverse,20.001,2,0,38,bgvvt
VoxConverse,11.972,12,0,13,vtzqw
VoxConverse,5.327,2,0,16,sxqvt
VoxConverse,20.001,1,0,34,uicid
VoxConverse,4.945,14,1,28,qeejz
VoxConverse,2.925,8,11,17,ralnu
VoxConverse,20.001,13,0,37,vncid
VoxConverse,6.446,2,3,31,ifwki
VoxConverse,6.061,2,0,45,gylzn
VoxConverse,18.866,8,7,31,utial
VoxConverse,11.273,3,1,34,dxbbt
VoxConverse,11.755,3,0,40,tvtoe
VoxConverse,20.001,8,0,10,qoarn
VoxConverse,7.616,4,11,23,eddje
VoxConverse,15.265,15,11,18,eqsta
VoxConverse,2.816,7,7,20,isrps
VoxConverse,3.142,3,12,26,sbrmv
VoxConverse,1.456,5,0,16,tnjoh
VoxConverse,16.853,8,1,13,zqidv
VoxConverse,0.835,3,4,33,xkmqx
VoxConverse,6.713,3,2,20,ledhe
VoxConverse,8.557,4,0,43,ytmef
VoxConverse,10.969,1,0,13,xlyov
VoxConverse,20.001,7,0,35,dkabn
VoxConverse,5.049,1,0,25,wibky
VoxConverse,2.857,4,4,26,fqrnu
VoxConverse,20.001,12,1,14,ibrnm
VoxConverse,2.032,11,0,25,fpfvy
VoxConverse,2.819,4,3,26,aepyx
VoxConverse,2.685,3,0,-3,vylyk
VoxConverse,8.598,8,0,39,auzru
VoxConverse,18.807,8,8,24,mhwyr
VoxConverse,5.177,2,0,17,gmmwm
VoxConverse,1.681,7,0,19,nqcpi
VoxConverse,20.001,8,0,35,kzmyi
VoxConverse,3.75,9,1,16,uevxo
VoxConverse,6.861,5,1,0,xmyyy
VoxConverse,0.638,4,4,27,msbyq
VoxConverse,14.148,7,5,31,jsbdo
VoxConverse,20.001,12,0,13,heolf
VoxConverse,1.415,2,4,15,luobn
VoxConverse,3.919,9,1,13,pgtkk
VoxConverse,15.365,6,1,30,fijfi
VoxConverse,20.001,10,1,8,mxduo
VoxConverse,2.687,7,3,16,gfneh
VoxConverse,17.538,11,4,19,vgevv
VoxConverse,20.001,7,0,42,ofbxh
VoxConverse,6.578,2,1,34,leneg
VoxConverse,20.001,2,13,37,ocfop
VoxConverse,5.834,2,5,21,tiido
VoxConverse,18.099,11,3,13,guvqf
VoxConverse,20.001,7,1,10,tpnyf
VoxConverse,20.001,9,5,40,jrfaz
VoxConverse,20.001,4,0,34,fvhrk
VoxConverse,17.423,9,2,30,jsymf
VoxConverse,10.585,5,2,46,wwzsk
VoxConverse,1.916,4,0,29,cqfmj
VoxConverse,20.001,7,0,15,xqxkt
VoxConverse,18.853,12,6,25,zzyyo
VoxConverse,20.001,6,1,33,iacod
VoxConverse,14.007,3,0,17,lpola
VoxConverse,14.874,5,1,24,yzvon
VoxConverse,16.953,11,10,18,nkqzr
VoxConverse,9.915,7,0,37,upshw
VoxConverse,3.275,2,2,24,bxcfq
VoxConverse,5.185,3,13,21,fyqoe
VoxConverse,20.001,4,0,50,gtjow
VoxConverse,20.001,8,0,9,epygx
VoxConverse,20.001,10,2,12,rxulz
VoxConverse,4.119,10,0,22,gukoa
VoxConverse,20.001,11,0,12,zzsba
VoxConverse,20.001,7,2,19,ryken
VoxConverse,19.124,7,11,25,eauve
VoxConverse,1.402,4,1,35,eucfa
VoxConverse,7.546,8,0,41,kmjvh
VoxConverse,20.001,9,1,34,dlast
VoxConverse,20.001,2,0,12,wprog
VoxConverse,10.726,7,0,17,jttar
VoxConverse,3.302,1,0,23,ooxlj
VoxConverse,20.001,10,1,45,nlvdr
VoxConverse,17.002,6,6,25,jjkrt
VoxConverse,4.759,11,0,18,fzwtp
VoxConverse,17.251,8,0,18,nqyqm
VoxConverse,1.954,3,0,36,bvyvm
VoxConverse,9.546,9,4,28,bvqnu
VoxConverse,0.814,1,0,32,neiye
VoxConverse,1.947,1,0,12,zztbo
VoxConverse,3.525,8,2,25,eoyaz
VoxConverse,4.745,9,1,30,mjmgr
VoxConverse,20.001,10,0,8,rsypp
VoxConverse,20.001,13,1,23,gtnjb
VoxConverse,15.403,7,9,19,poucc
VoxConverse,3.167,6,0,49,jjvkx
VoxConverse,7.246,7,1,20,qlrry
VoxConverse,17.709,4,1,39,xkgos
VoxConverse,20.001,12,0,11,aorju
VoxConverse,7.179,3,0,15,otmpf
VoxConverse,20.001,18,0,26,jeymh
VoxConverse,20.001,5,0,13,zsgto
VoxConverse,8.416,8,1,25,ybhwz
VoxConverse,9.537,2,4,20,myjoe
VoxConverse,7.275,5,2,32,tpslg
VoxConverse,20.001,10,0,10,rarij
VoxConverse,6.452,1,0,21,pxqme
VoxConverse,5.61,1,0,43,sfdvy
VoxConverse,3.062,8,13,8,dzxut
VoxConverse,16.387,6,2,21,gzhwb
VoxConverse,2.951,4,1,25,vgaez
VoxConverse,1.644,2,6,25,eazeq
VoxConverse,3.071,7,4,27,cadba
VoxConverse,2.143,7,3,24,erslt
VoxConverse,1.098,2,21,27,wdvva
VoxConverse,20.001,19,0,16,vzuru
VoxConverse,2.132,10,13,16,cwbvu
VoxConverse,4.377,13,1,27,aggyz
VoxConverse,20.001,13,0,12,jbowg
VoxConverse,2.871,6,0,38,zehzu
VoxConverse,2.18,5,3,33,mbzht
VoxConverse,20.001,6,0,25,cvofp
VoxConverse,1.433,1,0,49,jxydp
VoxConverse,13.855,4,9,23,sexgc
VoxConverse,20.001,7,0,11,zedtj
VoxConverse,5.107,2,0,16,xtdcl
VoxConverse,4.819,11,1,31,mclsr
VoxConverse,20.001,12,0,12,mkhie
VoxConverse,20.001,3,0,41,ylgug
VoxConverse,14.53,1,0,12,gwloo
VoxConverse,20.001,7,3,19,jdrwl
VoxConverse,20.001,10,2,31,thnuq
VoxConverse,7.503,3,2,15,fxnwf
VoxConverse,14.469,6,3,36,fowhl
VoxConverse,10.166,4,3,20,oubab
VoxConverse,20.001,2,1,27,lkikz
VoxConverse,17.165,11,10,25,bidnq
VoxConverse,13.546,9,6,26,ktvto
VoxConverse,10.021,14,3,27,usqam
VoxConverse,16.503,6,1,35,duvox
VoxConverse,16.945,13,6,24,pwnsw
VoxConverse,17.058,6,4,29,xffsa
VoxConverse,14.873,8,4,30,uhfrw
VoxConverse,2.342,8,6,30,kpjud
VoxConverse,10.214,7,3,29,pzxit
VoxConverse,20.001,6,1,23,wwvcs
VoxConverse,14.383,7,4,20,lscfc
VoxConverse,2.99,3,2,22,iabca
VoxConverse,20.001,8,0,12,iowob
VoxConverse,20.001,9,0,14,cawnd
VoxConverse,3.965,4,1,33,oqwpd
VoxConverse,3.307,4,1,29,ljpes
VoxConverse,5.068,2,3,9,laoyl
VoxConverse,20.001,7,0,14,uedkc
VoxConverse,4.369,2,0,37,tkhgs
VoxConverse,5.061,8,2,33,hcyak
VoxConverse,20.001,6,6,29,vuewy
VoxConverse,8.531,11,2,20,wlfsf
VoxConverse,5.312,9,0,36,clfcg
VoxConverse,20.001,4,1,25,vdlvr
VoxConverse,3.494,2,0,36,ltgmz
VoxConverse,7.834,15,0,23,byapz
VoxConverse,13.017,11,3,27,dgvwu
VoxConverse,8.784,7,3,9,jxpom
VoxConverse,3.613,2,2,32,olzkb
VoxConverse,5.143,8,1,16,qadia
VoxConverse,20.001,2,3,35,gcvrb
VoxConverse,2.634,4,0,34,isxwc
VoxConverse,11.644,9,10,10,ptses
VoxConverse,20.001,6,0,41,tkybe
VoxConverse,0.434,3,0,11,fuzfh
VoxConverse,5.484,5,5,32,rpkso
VoxConverse,11.849,5,4,16,bmsyn
VoxConverse,20.001,2,2,37,zfzlc
VoxConverse,16.762,1,0,25,svxzm
VoxConverse,17.55,7,3,26,bpzsc
VoxConverse,20.001,8,0,15,xggbk
VoxConverse,2.594,3,33,19,wcxfk
VoxConverse,6.701,4,7,20,nprxc
VoxConverse,13.165,8,4,27,tbjqx
VoxConverse,2.974,1,0,39,ppexo
VoxConverse,1.726,2,0,38,rmvsh
VoxConverse,3.187,5,1,25,lilfy
VoxConverse,11.184,1,0,49,cpebh
VoxConverse,5.148,15,0,27,uqxlg
VoxConverse,20.001,7,0,32,hhepf
VoxConverse,11.216,6,5,34,yukhy
VoxConverse,15.344,17,6,26,qajyo
VoxConverse,19.648,15,11,24,diysk
VoxConverse,20.001,7,0,17,iiprr
VoxConverse,15.186,2,0,41,crorm
VoxConverse,20.001,7,0,13,lhuly
VoxConverse,20.001,9,0,22,jgiyq
VoxConverse,15.923,15,1,10,kajfh
VoxConverse,3.132,4,1,17,crylr
