D,Spk,OS,SNR,Coverage
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 8.0],37.494
(34.876 - 95.677],(4 - 5],[0.0 - 1.0],(17.0 - 21.0],52.796
(34.876 - 95.677],(4 - 5],(2.0 - 3.0],(13.0 - 17.0],33.184
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 8.0],41.043
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 8.0],44.025
(34.876 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 8.0],40.293
(34.876 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 17.0],41.584
(34.876 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 8.0],34.383
(34.876 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 8.0],31.54
(34.876 - 95.677],(4 - 5],[0.0 - 1.0],(17.0 - 21.0],40.662
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(8.0 - 10.0],60.487
(34.876 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 17.0],43.447
(34.876 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],39.076
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 8.0],45.119
(34.876 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 8.0],32.268
(34.876 - 95.677],(4 - 5],[0.0 - 1.0],(21.0 - 25.0],50.476
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 8.0],29.184
(34.876 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],37.891
(34.876 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 17.0],36.137
(11.811 - 20.001],(3 - 4],(3.0 - 5.0],(17.0 - 21.0],29.073
(34.876 - 95.677],(3 - 4],(2.0 - 3.0],(21.0 - 25.0],22.315
(20.001 - 31.029],(3 - 4],(13.0 - 63.0],(25.0 - 29.0],27.575
(31.029 - 34.876],(3 - 4],(3.0 - 5.0],(21.0 - 25.0],30.54
(34.876 - 95.677],(3 - 4],[0.0 - 1.0],(21.0 - 25.0],33.025
(34.876 - 95.677],(3 - 4],(3.0 - 5.0],(21.0 - 25.0],40.401
(34.876 - 95.677],(3 - 4],(13.0 - 63.0],(25.0 - 29.0],26.347
(11.811 - 20.001],(3 - 4],(5.0 - 8.0],(17.0 - 21.0],21.273
(34.876 - 95.677],(2 - 3],(8.0 - 13.0],(29.0 - 36.0],29.916
(20.001 - 31.029],(3 - 4],(2.0 - 3.0],(21.0 - 25.0],33.233
(34.876 - 95.677],(3 - 4],[0.0 - 1.0],(29.0 - 36.0],27.609
(31.029 - 34.876],(3 - 4],(3.0 - 5.0],(21.0 - 25.0],25.863
(34.876 - 95.677],(3 - 4],(13.0 - 63.0],(21.0 - 25.0],28.233
(34.876 - 95.677],(3 - 4],(8.0 - 13.0],(17.0 - 21.0],30.272
(20.001 - 31.029],(3 - 4],[0.0 - 1.0],(21.0 - 25.0],22.918
(34.876 - 95.677],(3 - 4],(5.0 - 8.0],(25.0 - 29.0],33.891
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(8.0 - 10.0],35.868
(3.204 - 11.811],(5 - 7],[0.0 - 1.0],(25.0 - 29.0],29.968
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(21.0 - 25.0],37.469
(11.811 - 20.001],(10 - 41],(13.0 - 63.0],(17.0 - 21.0],29.571
(11.811 - 20.001],[1 - 2],(3.0 - 5.0],(21.0 - 25.0],20.385
(1.466 - 3.204],(2 - 3],(13.0 - 63.0],(17.0 - 21.0],28.313
(1.466 - 3.204],(2 - 3],[0.0 - 1.0],(36.0 - 59.0],26.163
(1.466 - 3.204],(3 - 4],[0.0 - 1.0],(36.0 - 59.0],32.678
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(8.0 - 10.0],22.582
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(25.0 - 29.0],32.584
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],31.001
(3.204 - 11.811],(5 - 7],[0.0 - 1.0],(13.0 - 17.0],45.905
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],38.231
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(25.0 - 29.0],46.182
(3.204 - 11.811],(3 - 4],(13.0 - 63.0],(21.0 - 25.0],22.918
(11.811 - 20.001],(5 - 7],(1.0 - 2.0],(25.0 - 29.0],37.732
(1.466 - 3.204],(3 - 4],[0.0 - 1.0],(13.0 - 17.0],33.003
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],27.321
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],44.257
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(8.0 - 10.0],21.38
(3.204 - 11.811],(5 - 7],[0.0 - 1.0],(17.0 - 21.0],23.916
(11.811 - 20.001],(10 - 41],(3.0 - 5.0],(13.0 - 17.0],36.28
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],31.358
(11.811 - 20.001],(7 - 10],(3.0 - 5.0],(25.0 - 29.0],26.722
(3.204 - 11.811],[1 - 2],(5.0 - 8.0],(17.0 - 21.0],21.309
(11.811 - 20.001],(4 - 5],[0.0 - 1.0],(21.0 - 25.0],37.974
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],43.043
(11.811 - 20.001],(10 - 41],(1.0 - 2.0],(29.0 - 36.0],35.406
(11.811 - 20.001],(7 - 10],(3.0 - 5.0],(25.0 - 29.0],33.847
(1.466 - 3.204],(5 - 7],(2.0 - 3.0],(29.0 - 36.0],49.088
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(13.0 - 17.0],24.417
(3.204 - 11.811],(5 - 7],[0.0 - 1.0],(25.0 - 29.0],32.228
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],26.715
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],38.492
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],18.787
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],16.508
(3.204 - 11.811],(10 - 41],[0.0 - 1.0],(25.0 - 29.0],41.285
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],44.756
(3.204 - 11.811],[1 - 2],(2.0 - 3.0],(29.0 - 36.0],28.607
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],31.527
(11.811 - 20.001],(7 - 10],(5.0 - 8.0],(29.0 - 36.0],31.713
(3.204 - 11.811],(2 - 3],[0.0 - 1.0],(29.0 - 36.0],32.203
(3.204 - 11.811],(2 - 3],[0.0 - 1.0],(36.0 - 59.0],26.811
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(8.0 - 10.0],24.766
(3.204 - 11.811],(3 - 4],(8.0 - 13.0],(21.0 - 25.0],33.433
(11.811 - 20.001],(10 - 41],(8.0 - 13.0],(17.0 - 21.0],31.921
(1.466 - 3.204],(5 - 7],(5.0 - 8.0],(17.0 - 21.0],37.484
(1.466 - 3.204],(2 - 3],(8.0 - 13.0],(25.0 - 29.0],30.061
(0.884 - 1.466],(4 - 5],[0.0 - 1.0],(13.0 - 17.0],51.723
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],36.952
(3.204 - 11.811],(2 - 3],(1.0 - 2.0],(17.0 - 21.0],36.829
(3.204 - 11.811],(3 - 4],[0.0 - 1.0],(36.0 - 59.0],50.146
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],15.387
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],40.223
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],25.768
(1.466 - 3.204],(3 - 4],(3.0 - 5.0],(25.0 - 29.0],35.45
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(13.0 - 17.0],32.11
(1.466 - 3.204],(10 - 41],[0.0 - 1.0],(21.0 - 25.0],39.001
(1.466 - 3.204],(3 - 4],(2.0 - 3.0],(25.0 - 29.0],39.773
(1.466 - 3.204],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],24.083
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],51.38
(11.811 - 20.001],(7 - 10],(5.0 - 8.0],(21.0 - 25.0],26.387
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],33.599
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],45.698
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(13.0 - 17.0],55.774
(3.204 - 11.811],(4 - 5],[0.0 - 1.0],[0.0 - 4.0],34.029
(11.811 - 20.001],(5 - 7],(3.0 - 5.0],(29.0 - 36.0],32.485
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],27.379
(0.884 - 1.466],[1 - 2],(3.0 - 5.0],(13.0 - 17.0],31.165
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],38.495
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],32.372
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(4.0 - 8.0],29.199
(11.811 - 20.001],(10 - 41],(3.0 - 5.0],(17.0 - 21.0],36.228
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],35.483
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],27.392
(11.811 - 20.001],[1 - 2],(8.0 - 13.0],(36.0 - 59.0],25.863
(3.204 - 11.811],[1 - 2],(3.0 - 5.0],(17.0 - 21.0],22.743
(11.811 - 20.001],(10 - 41],(2.0 - 3.0],(10.0 - 13.0],31.366
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(8.0 - 10.0],29.972
(11.811 - 20.001],(7 - 10],(3.0 - 5.0],(36.0 - 59.0],29.128
(11.811 - 20.001],(3 - 4],[0.0 - 1.0],(29.0 - 36.0],29.087
(11.811 - 20.001],(7 - 10],(1.0 - 2.0],(29.0 - 36.0],42.198
(3.204 - 11.811],(4 - 5],(1.0 - 2.0],(36.0 - 59.0],39.13
(1.466 - 3.204],(3 - 4],[0.0 - 1.0],(25.0 - 29.0],24.632
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(13.0 - 17.0],25.639
(11.811 - 20.001],(10 - 41],(5.0 - 8.0],(21.0 - 25.0],40.915
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],42.306
(11.811 - 20.001],(2 - 3],[0.0 - 1.0],(13.0 - 17.0],31.759
(11.811 - 20.001],(4 - 5],[0.0 - 1.0],(21.0 - 25.0],31.739
(11.811 - 20.001],(10 - 41],(8.0 - 13.0],(17.0 - 21.0],28.92
(3.204 - 11.811],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],28.817
(11.811 - 20.001],(3 - 4],[0.0 - 1.0],(36.0 - 59.0],34.301
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(8.0 - 10.0],24.962
(11.811 - 20.001],(7 - 10],(1.0 - 2.0],(10.0 - 13.0],30.847
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(21.0 - 25.0],41.223
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],27.829
(11.811 - 20.001],(5 - 7],(1.0 - 2.0],(17.0 - 21.0],32.59
(11.811 - 20.001],(5 - 7],(8.0 - 13.0],(21.0 - 25.0],22.787
(0.884 - 1.466],(3 - 4],[0.0 - 1.0],(29.0 - 36.0],37.408
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],40.449
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],37.297
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],32.63
(3.204 - 11.811],(5 - 7],[0.0 - 1.0],(13.0 - 17.0],23.337
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],17.589
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],41.416
(11.811 - 20.001],(5 - 7],(5.0 - 8.0],(21.0 - 25.0],31.879
(3.204 - 11.811],(10 - 41],[0.0 - 1.0],(17.0 - 21.0],42.785
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(17.0 - 21.0],51.903
(1.466 - 3.204],(2 - 3],[0.0 - 1.0],(29.0 - 36.0],34.481
(3.204 - 11.811],(7 - 10],(3.0 - 5.0],(25.0 - 29.0],33.116
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],21.85
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],22.606
(3.204 - 11.811],(7 - 10],(1.0 - 2.0],(21.0 - 25.0],38.892
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],28.518
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(4.0 - 8.0],27.225
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(21.0 - 25.0],46.72
(11.811 - 20.001],(5 - 7],(8.0 - 13.0],(17.0 - 21.0],29.975
(3.204 - 11.811],(5 - 7],[0.0 - 1.0],(17.0 - 21.0],27.154
(11.811 - 20.001],(3 - 4],[0.0 - 1.0],(36.0 - 59.0],28.772
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],30.884
(3.204 - 11.811],(2 - 3],[0.0 - 1.0],(13.0 - 17.0],25.251
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(25.0 - 29.0],63.933
(11.811 - 20.001],(4 - 5],[0.0 - 1.0],(10.0 - 13.0],26.035
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(21.0 - 25.0],33.126
(3.204 - 11.811],[1 - 2],(3.0 - 5.0],(17.0 - 21.0],26.385
(3.204 - 11.811],(4 - 5],(1.0 - 2.0],(29.0 - 36.0],35.846
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(8.0 - 10.0],26.337
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],21.661
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],20.993
(1.466 - 3.204],(7 - 10],(8.0 - 13.0],(4.0 - 8.0],29.071
(11.811 - 20.001],(5 - 7],(1.0 - 2.0],(17.0 - 21.0],38.077
(1.466 - 3.204],(3 - 4],[0.0 - 1.0],(21.0 - 25.0],32.175
(0.884 - 1.466],[1 - 2],(13.0 - 63.0],(25.0 - 29.0],29.063
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(13.0 - 17.0],42.056
(3.204 - 11.811],(10 - 41],[0.0 - 1.0],(25.0 - 29.0],39.025
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],28.633
(1.466 - 3.204],(4 - 5],(2.0 - 3.0],(29.0 - 36.0],30.069
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(21.0 - 25.0],42.075
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],17.117
(11.811 - 20.001],(3 - 4],(8.0 - 13.0],(21.0 - 25.0],28.374
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],24.975
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],22.552
(3.204 - 11.811],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],45.279
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],32.071
(11.811 - 20.001],(2 - 3],[0.0 - 1.0],(36.0 - 59.0],17.026
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],20.832
(11.811 - 20.001],(5 - 7],(2.0 - 3.0],(17.0 - 21.0],42.696
(11.811 - 20.001],(7 - 10],(1.0 - 2.0],(29.0 - 36.0],48.659
(3.204 - 11.811],(2 - 3],(1.0 - 2.0],(13.0 - 17.0],28.355
(11.811 - 20.001],(5 - 7],(2.0 - 3.0],(29.0 - 36.0],29.61
(3.204 - 11.811],(3 - 4],(2.0 - 3.0],(17.0 - 21.0],34.525
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],25.222
(11.811 - 20.001],(10 - 41],(8.0 - 13.0],(21.0 - 25.0],30.008
(11.811 - 20.001],(7 - 10],(5.0 - 8.0],(25.0 - 29.0],35.359
(3.204 - 11.811],(10 - 41],(2.0 - 3.0],(25.0 - 29.0],36.051
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],43.266
(11.811 - 20.001],(10 - 41],(5.0 - 8.0],(21.0 - 25.0],27.965
(11.811 - 20.001],(5 - 7],(3.0 - 5.0],(25.0 - 29.0],25.79
(11.811 - 20.001],(7 - 10],(3.0 - 5.0],(29.0 - 36.0],33.207
(1.466 - 3.204],(7 - 10],(5.0 - 8.0],(29.0 - 36.0],45.681
(3.204 - 11.811],(5 - 7],(2.0 - 3.0],(25.0 - 29.0],29.451
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(21.0 - 25.0],34.089
(11.811 - 20.001],(5 - 7],(3.0 - 5.0],(17.0 - 21.0],28.62
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],23.125
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(13.0 - 17.0],25.003
(3.204 - 11.811],(3 - 4],[0.0 - 1.0],(29.0 - 36.0],33.927
(3.204 - 11.811],(3 - 4],[0.0 - 1.0],(25.0 - 29.0],43.628
(3.204 - 11.811],[1 - 2],(2.0 - 3.0],(8.0 - 10.0],22.301
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(13.0 - 17.0],26.534
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],36.636
(3.204 - 11.811],(7 - 10],(1.0 - 2.0],(29.0 - 36.0],33.874
(11.811 - 20.001],(5 - 7],(5.0 - 8.0],(25.0 - 29.0],36.47
(3.204 - 11.811],(10 - 41],(1.0 - 2.0],(17.0 - 21.0],46.122
(11.811 - 20.001],(3 - 4],[0.0 - 1.0],(21.0 - 25.0],41.398
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],41.634
(3.204 - 11.811],(10 - 41],[0.0 - 1.0],(21.0 - 25.0],35.997
(11.811 - 20.001],(10 - 41],(2.0 - 3.0],(25.0 - 29.0],45.027
(3.204 - 11.811],(5 - 7],(2.0 - 3.0],(8.0 - 10.0],32.222
(3.204 - 11.811],[1 - 2],(1.0 - 2.0],(29.0 - 36.0],23.268
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(13.0 - 17.0],44.234
(11.811 - 20.001],[1 - 2],(2.0 - 3.0],(29.0 - 36.0],25.213
(1.466 - 3.204],(3 - 4],[0.0 - 1.0],(29.0 - 36.0],27.335
(3.204 - 11.811],(7 - 10],(8.0 - 13.0],(8.0 - 10.0],30.7
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],36.229
(0.42 - 0.587],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],41.453
(3.204 - 11.811],(4 - 5],(3.0 - 5.0],(29.0 - 36.0],38.646
(11.811 - 20.001],(4 - 5],(3.0 - 5.0],(13.0 - 17.0],31.561
(11.811 - 20.001],[1 - 2],(1.0 - 2.0],(36.0 - 59.0],29.693
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],19.49
(11.811 - 20.001],(5 - 7],(2.0 - 3.0],(25.0 - 29.0],18.89
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(13.0 - 17.0],25.262
(1.466 - 3.204],(2 - 3],(13.0 - 63.0],(17.0 - 21.0],23.344
(3.204 - 11.811],(3 - 4],(5.0 - 8.0],(17.0 - 21.0],25.219
(11.811 - 20.001],(7 - 10],(3.0 - 5.0],(25.0 - 29.0],30.739
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],27.857
(1.466 - 3.204],(4 - 5],[0.0 - 1.0],(21.0 - 25.0],40.887
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],16.536
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],31.167
(3.204 - 11.811],(5 - 7],(3.0 - 5.0],(29.0 - 36.0],24.921
(11.811 - 20.001],(10 - 41],(5.0 - 8.0],(25.0 - 29.0],30.896
(11.811 - 20.001],(10 - 41],(8.0 - 13.0],(21.0 - 25.0],32.438
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(13.0 - 17.0],26.361
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],17.466
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],23.414
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(21.0 - 25.0],53.887
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(8.0 - 10.0],38.128
(1.466 - 3.204],(3 - 4],[0.0 - 1.0],(13.0 - 17.0],31.009
(31.029 - 34.876],(3 - 4],(13.0 - 63.0],(10.0 - 13.0],25.037
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(8.0 - 10.0],34.787
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],29.391
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(4.0 - 8.0],29.194
(20.001 - 31.029],(3 - 4],(13.0 - 63.0],(10.0 - 13.0],24.287
(20.001 - 31.029],(2 - 3],[0.0 - 1.0],(13.0 - 17.0],36.604
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],30.546
(34.876 - 95.677],(3 - 4],(8.0 - 13.0],(21.0 - 25.0],25.437
(20.001 - 31.029],(2 - 3],(1.0 - 2.0],(13.0 - 17.0],28.063
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],36.329
(31.029 - 34.876],(3 - 4],(2.0 - 3.0],(17.0 - 21.0],25.481
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],25.267
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],23.443
(31.029 - 34.876],(3 - 4],(8.0 - 13.0],(17.0 - 21.0],32.22
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],28.408
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],27.042
(31.029 - 34.876],(3 - 4],(13.0 - 63.0],(13.0 - 17.0],26.052
(31.029 - 34.876],[1 - 2],(2.0 - 3.0],(17.0 - 21.0],32.136
(31.029 - 34.876],(3 - 4],(8.0 - 13.0],(13.0 - 17.0],31.943
(20.001 - 31.029],(3 - 4],(1.0 - 2.0],(17.0 - 21.0],33.922
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],30.648
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],32.153
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],29.704
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],33.551
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],50.875
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],21.47
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],23.747
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],24.209
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],19.491
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],30.894
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],26.3
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],31.769
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],34.098
(31.029 - 34.876],[1 - 2],(2.0 - 3.0],(13.0 - 17.0],35.393
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],27.165
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],28.136
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],25.171
