D,Spk,OS,SNR,Coverage
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],23.281
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],27.35
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],20.391
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],26.353
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],28.686
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],20.693
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],21.559
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],30.467
(31.029 - 34.876],[1 - 2],(1.0 - 2.0],(17.0 - 21.0],27.03
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],35.126
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],28.578
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],44.056
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],30.64
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],18.898
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],40.248
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],29.096
(31.029 - 34.876],[1 - 2],(5.0 - 8.0],(13.0 - 17.0],24.588
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],33.843
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],24.625
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],23.086
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],18.154
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],28.942
(31.029 - 34.876],[1 - 2],(1.0 - 2.0],(17.0 - 21.0],22.81
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],20.518
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],27.06
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],31.626
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],30.786
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],21.343
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],38.775
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],21.09
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],29.47
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],25.368
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],21.204
(31.029 - 34.876],[1 - 2],(2.0 - 3.0],(13.0 - 17.0],29.805
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],28.163
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],26.037
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],25.627
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],34.402
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],36.771
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],22.874
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],25.422
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],36.64
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],24.376
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],34.553
(31.029 - 34.876],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],48.292
(20.001 - 31.029],(5 - 7],[0.0 - 1.0],(25.0 - 29.0],57.674
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],41.127
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],36.526
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],39.267
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],62.961
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],34.052
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],44.378
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],33.642
(20.001 - 31.029],(5 - 7],[0.0 - 1.0],(25.0 - 29.0],40.745
(20.001 - 31.029],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],45.903
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],50.517
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],46.541
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],45.89
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],40.778
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],45.574
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],42.392
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],52.129
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],45.985
(11.811 - 20.001],(4 - 5],[0.0 - 1.0],(36.0 - 59.0],47.127
(20.001 - 31.029],(4 - 5],[0.0 - 1.0],(17.0 - 21.0],38.539
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],49.848
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],34.981
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],59.485
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],48.547
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],42.193
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(25.0 - 29.0],42.819
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],29.339
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],37.658
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],38.698
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],31.674
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],42.929
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],41.875
(34.876 - 95.677],(4 - 5],[0.0 - 1.0],(36.0 - 59.0],40.733
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],41.593
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],62.755
(20.001 - 31.029],(7 - 10],[0.0 - 1.0],(25.0 - 29.0],65.846
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(25.0 - 29.0],55.607
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],38.156
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],32.558
(20.001 - 31.029],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],53.26
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],33.464
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(25.0 - 29.0],62.417
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],19.763
(0.335 - 0.42],(2 - 3],(8.0 - 13.0],(4.0 - 8.0],26.997
(0.335 - 0.42],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],37.689
(0.587 - 0.884],[1 - 2],(5.0 - 8.0],(4.0 - 8.0],23.124
(0.884 - 1.466],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],19.945
(0.884 - 1.466],[1 - 2],(3.0 - 5.0],(25.0 - 29.0],31.321
(1.466 - 3.204],(3 - 4],(2.0 - 3.0],(4.0 - 8.0],23.845
(0.42 - 0.587],[1 - 2],(8.0 - 13.0],(13.0 - 17.0],22.944
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],30.079
(1.466 - 3.204],(3 - 4],(8.0 - 13.0],(10.0 - 13.0],22.7
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],23.456
(0.884 - 1.466],[1 - 2],(3.0 - 5.0],(4.0 - 8.0],27.324
(1.466 - 3.204],[1 - 2],(2.0 - 3.0],(25.0 - 29.0],27.771
(0.335 - 0.42],(2 - 3],(13.0 - 63.0],[0.0 - 4.0],34.383
(0.42 - 0.587],(3 - 4],(5.0 - 8.0],[0.0 - 4.0],25.969
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],29.809
(11.811 - 20.001],[1 - 2],(8.0 - 13.0],(4.0 - 8.0],24.698
(0.42 - 0.587],(3 - 4],(5.0 - 8.0],(8.0 - 10.0],32.469
(0.42 - 0.587],[1 - 2],(5.0 - 8.0],(4.0 - 8.0],28.839
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],29.21
(0.884 - 1.466],(2 - 3],(8.0 - 13.0],(10.0 - 13.0],28.792
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],35.287
(0.587 - 0.884],[1 - 2],(8.0 - 13.0],(17.0 - 21.0],24.739
(1.466 - 3.204],(2 - 3],(3.0 - 5.0],(21.0 - 25.0],20.657
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],37.292
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],36.081
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],27.737
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],22.612
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],24.463
(1.466 - 3.204],[1 - 2],(2.0 - 3.0],(13.0 - 17.0],26.697
(0.42 - 0.587],(2 - 3],(13.0 - 63.0],(8.0 - 10.0],30.763
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],25.083
(0.42 - 0.587],(3 - 4],(8.0 - 13.0],(8.0 - 10.0],32.592
(11.811 - 20.001],[1 - 2],(2.0 - 3.0],(13.0 - 17.0],24.971
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],30.443
(0.335 - 0.42],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],21.373
(0.335 - 0.42],(2 - 3],(8.0 - 13.0],(4.0 - 8.0],26.888
(0.884 - 1.466],(2 - 3],(3.0 - 5.0],(21.0 - 25.0],21.647
(0.335 - 0.42],[1 - 2],(3.0 - 5.0],(10.0 - 13.0],24.837
(0.587 - 0.884],(2 - 3],(3.0 - 5.0],(17.0 - 21.0],27.643
(0.587 - 0.884],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],27.653
(1.466 - 3.204],[1 - 2],(5.0 - 8.0],(21.0 - 25.0],25.413
(0.884 - 1.466],[1 - 2],(3.0 - 5.0],[0.0 - 4.0],34.281
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],24.624
(0.884 - 1.466],[1 - 2],(13.0 - 63.0],(4.0 - 8.0],22.989
(0.42 - 0.587],[1 - 2],(1.0 - 2.0],(4.0 - 8.0],31.932
(0.587 - 0.884],[1 - 2],(2.0 - 3.0],(10.0 - 13.0],34.708
(0.587 - 0.884],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],26.526
(0.42 - 0.587],[1 - 2],(5.0 - 8.0],(13.0 - 17.0],29.133
(1.466 - 3.204],[1 - 2],(1.0 - 2.0],[0.0 - 4.0],22.461
(1.466 - 3.204],(2 - 3],(3.0 - 5.0],(17.0 - 21.0],22.732
(0.587 - 0.884],(2 - 3],(1.0 - 2.0],[0.0 - 4.0],27.662
(3.204 - 11.811],[1 - 2],(3.0 - 5.0],(4.0 - 8.0],25.176
(3.204 - 11.811],[1 - 2],(5.0 - 8.0],(10.0 - 13.0],22.165
(0.884 - 1.466],[1 - 2],(8.0 - 13.0],(17.0 - 21.0],17.767
(0.42 - 0.587],(3 - 4],(8.0 - 13.0],[0.0 - 4.0],32.953
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],25.367
(0.587 - 0.884],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],34.125
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],38.878
(0.587 - 0.884],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],19.694
(0.42 - 0.587],(3 - 4],(13.0 - 63.0],(4.0 - 8.0],32.914
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],27.455
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],26.117
(0.884 - 1.466],[1 - 2],(2.0 - 3.0],(13.0 - 17.0],25.889
(0.335 - 0.42],(2 - 3],(13.0 - 63.0],(8.0 - 10.0],34.173
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],20.851
(1.466 - 3.204],(3 - 4],(13.0 - 63.0],[0.0 - 4.0],23.946
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],31.685
(0.884 - 1.466],[1 - 2],(8.0 - 13.0],(13.0 - 17.0],27.042
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],27.329
(0.884 - 1.466],[1 - 2],(5.0 - 8.0],(8.0 - 10.0],24.329
(0.335 - 0.42],(2 - 3],(5.0 - 8.0],(4.0 - 8.0],27.119
(1.466 - 3.204],[1 - 2],(1.0 - 2.0],(29.0 - 36.0],33.446
(0.335 - 0.42],[1 - 2],(13.0 - 63.0],[0.0 - 4.0],29.859
(0.42 - 0.587],(2 - 3],(2.0 - 3.0],(10.0 - 13.0],37.96
(0.884 - 1.466],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],25.256
(0.587 - 0.884],[1 - 2],(2.0 - 3.0],(4.0 - 8.0],26.847
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],33.208
(0.42 - 0.587],(2 - 3],[0.0 - 1.0],(4.0 - 8.0],34.687
(0.42 - 0.587],[1 - 2],(3.0 - 5.0],[0.0 - 4.0],33.093
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],29.943
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],23.628
(0.42 - 0.587],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],29.682
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],27.07
(3.204 - 11.811],[1 - 2],(1.0 - 2.0],(10.0 - 13.0],22.429
(1.466 - 3.204],(2 - 3],(5.0 - 8.0],(8.0 - 10.0],23.82
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],31.946
(11.811 - 20.001],[1 - 2],(5.0 - 8.0],(17.0 - 21.0],20.778
(0.42 - 0.587],(2 - 3],[0.0 - 1.0],(8.0 - 10.0],31.612
(3.204 - 11.811],[1 - 2],(5.0 - 8.0],(13.0 - 17.0],27.869
(0.42 - 0.587],(2 - 3],(1.0 - 2.0],(8.0 - 10.0],31.135
(0.587 - 0.884],(2 - 3],[0.0 - 1.0],(21.0 - 25.0],29.18
(1.466 - 3.204],[1 - 2],(8.0 - 13.0],(25.0 - 29.0],20.931
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],30.811
(0.335 - 0.42],[1 - 2],(5.0 - 8.0],(21.0 - 25.0],29.397
(1.466 - 3.204],(2 - 3],(5.0 - 8.0],(4.0 - 8.0],21.472
(0.884 - 1.466],[1 - 2],(5.0 - 8.0],(13.0 - 17.0],28.453
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],32.51
(0.587 - 0.884],[1 - 2],(3.0 - 5.0],(4.0 - 8.0],22.876
(1.466 - 3.204],[1 - 2],(3.0 - 5.0],(13.0 - 17.0],35.738
(3.204 - 11.811],(2 - 3],(2.0 - 3.0],(21.0 - 25.0],26.726
(0.587 - 0.884],(2 - 3],(5.0 - 8.0],(4.0 - 8.0],25.903
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],22.133
(11.811 - 20.001],[1 - 2],(2.0 - 3.0],(36.0 - 59.0],20.399
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],20.966
(1.466 - 3.204],(2 - 3],(3.0 - 5.0],(4.0 - 8.0],28.34
(0.884 - 1.466],(2 - 3],(13.0 - 63.0],[0.0 - 4.0],21.174
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],33.813
(0.587 - 0.884],(2 - 3],(3.0 - 5.0],(13.0 - 17.0],27.205
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],29.981
(1.466 - 3.204],(2 - 3],(3.0 - 5.0],(13.0 - 17.0],32.231
(0.42 - 0.587],[1 - 2],(13.0 - 63.0],(10.0 - 13.0],23.795
(0.587 - 0.884],(3 - 4],(8.0 - 13.0],[0.0 - 4.0],35.529
(0.587 - 0.884],(3 - 4],(8.0 - 13.0],(4.0 - 8.0],26.334
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],20.307
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],36.129
(0.587 - 0.884],[1 - 2],(1.0 - 2.0],(17.0 - 21.0],38.26
(0.42 - 0.587],(2 - 3],(13.0 - 63.0],[0.0 - 4.0],27.824
(0.587 - 0.884],[1 - 2],(5.0 - 8.0],(4.0 - 8.0],20.462
(0.42 - 0.587],[1 - 2],(3.0 - 5.0],[0.0 - 4.0],33.409
(0.42 - 0.587],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],29.032
(0.335 - 0.42],[1 - 2],(5.0 - 8.0],(17.0 - 21.0],32.831
(0.42 - 0.587],(2 - 3],(13.0 - 63.0],[0.0 - 4.0],29.748
(0.884 - 1.466],(2 - 3],(13.0 - 63.0],(4.0 - 8.0],24.81
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],33.086
(1.466 - 3.204],(3 - 4],(3.0 - 5.0],(17.0 - 21.0],25.863
(0.587 - 0.884],[1 - 2],(3.0 - 5.0],(4.0 - 8.0],25.439
(0.884 - 1.466],(2 - 3],(13.0 - 63.0],(4.0 - 8.0],30.816
(1.466 - 3.204],[1 - 2],(5.0 - 8.0],(17.0 - 21.0],24.348
(1.466 - 3.204],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],26.069
(0.884 - 1.466],[1 - 2],(2.0 - 3.0],(17.0 - 21.0],24.075
(0.335 - 0.42],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],24.91
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],22.517
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],26.163
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],32.654
(1.466 - 3.204],(2 - 3],(8.0 - 13.0],(4.0 - 8.0],24.23
(0.335 - 0.42],(2 - 3],(5.0 - 8.0],(8.0 - 10.0],38.768
(0.587 - 0.884],(3 - 4],(8.0 - 13.0],[0.0 - 4.0],27.565
(0.42 - 0.587],[1 - 2],(8.0 - 13.0],(8.0 - 10.0],26.776
(0.42 - 0.587],(2 - 3],(13.0 - 63.0],(4.0 - 8.0],30.61
(0.587 - 0.884],(3 - 4],(8.0 - 13.0],(4.0 - 8.0],22.776
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],29.378
(0.884 - 1.466],[1 - 2],(5.0 - 8.0],(8.0 - 10.0],27.016
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],29.447
(0.335 - 0.42],(2 - 3],(13.0 - 63.0],[0.0 - 4.0],30.111
(0.884 - 1.466],(2 - 3],(2.0 - 3.0],(8.0 - 10.0],25.055
(0.884 - 1.466],(2 - 3],(3.0 - 5.0],(13.0 - 17.0],27.111
(1.466 - 3.204],[1 - 2],(5.0 - 8.0],(8.0 - 10.0],31.018
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],18.192
(0.884 - 1.466],(2 - 3],(3.0 - 5.0],(8.0 - 10.0],37.127
(0.884 - 1.466],(2 - 3],(2.0 - 3.0],(17.0 - 21.0],26.126
(0.335 - 0.42],(2 - 3],(5.0 - 8.0],(8.0 - 10.0],32.346
(0.42 - 0.587],(3 - 4],(13.0 - 63.0],[0.0 - 4.0],36.016
(0.335 - 0.42],(2 - 3],(3.0 - 5.0],(10.0 - 13.0],29.212
(0.335 - 0.42],(3 - 4],(13.0 - 63.0],[0.0 - 4.0],35.152
(1.466 - 3.204],[1 - 2],(13.0 - 63.0],[0.0 - 4.0],22.065
(0.42 - 0.587],(3 - 4],(5.0 - 8.0],(8.0 - 10.0],29.243
(0.587 - 0.884],(2 - 3],[0.0 - 1.0],(13.0 - 17.0],26.368
(0.42 - 0.587],(3 - 4],(2.0 - 3.0],(8.0 - 10.0],34.756
(3.204 - 11.811],[1 - 2],(5.0 - 8.0],(25.0 - 29.0],20.71
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],24.579
(0.884 - 1.466],(2 - 3],(1.0 - 2.0],(17.0 - 21.0],27.066
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],16.093
(0.42 - 0.587],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],34.558
(0.884 - 1.466],[1 - 2],(1.0 - 2.0],(25.0 - 29.0],25.985
(0.587 - 0.884],[1 - 2],(1.0 - 2.0],(10.0 - 13.0],28.25
(0.42 - 0.587],(3 - 4],(8.0 - 13.0],[0.0 - 4.0],29.149
(0.335 - 0.42],(3 - 4],(13.0 - 63.0],[0.0 - 4.0],30.46
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],25.536
(0.42 - 0.587],[1 - 2],(2.0 - 3.0],[0.0 - 4.0],26.49
(0.587 - 0.884],(2 - 3],(1.0 - 2.0],(13.0 - 17.0],25.804
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],27.369
(1.466 - 3.204],[1 - 2],(1.0 - 2.0],(21.0 - 25.0],24.309
(0.335 - 0.42],[1 - 2],(5.0 - 8.0],(25.0 - 29.0],27.138
(1.466 - 3.204],[1 - 2],(2.0 - 3.0],(36.0 - 59.0],28.871
(0.884 - 1.466],[1 - 2],(1.0 - 2.0],(8.0 - 10.0],34.762
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],47.036
(3.204 - 11.811],[1 - 2],(5.0 - 8.0],(13.0 - 17.0],27.137
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],33.206
(0.587 - 0.884],[1 - 2],(5.0 - 8.0],(17.0 - 21.0],23.282
(0.335 - 0.42],(3 - 4],[0.0 - 1.0],(4.0 - 8.0],26.227
(0.587 - 0.884],(2 - 3],(1.0 - 2.0],(13.0 - 17.0],29.093
(0.42 - 0.587],(3 - 4],(5.0 - 8.0],(10.0 - 13.0],32.874
(1.466 - 3.204],[1 - 2],(8.0 - 13.0],(13.0 - 17.0],20.019
(3.204 - 11.811],[1 - 2],(2.0 - 3.0],(10.0 - 13.0],20.207
(3.204 - 11.811],(3 - 4],(1.0 - 2.0],(25.0 - 29.0],23.653
(0.42 - 0.587],[1 - 2],(2.0 - 3.0],(10.0 - 13.0],25.26
(1.466 - 3.204],[1 - 2],(1.0 - 2.0],[0.0 - 4.0],22.952
(1.466 - 3.204],[1 - 2],(1.0 - 2.0],(36.0 - 59.0],30.265
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],26.12
(0.42 - 0.587],(2 - 3],[0.0 - 1.0],(4.0 - 8.0],33.495
(1.466 - 3.204],(3 - 4],[0.0 - 1.0],(4.0 - 8.0],26.099
(0.884 - 1.466],(3 - 4],(8.0 - 13.0],(4.0 - 8.0],27.648
(1.466 - 3.204],[1 - 2],(5.0 - 8.0],(13.0 - 17.0],23.238
(0.335 - 0.42],(2 - 3],(5.0 - 8.0],(13.0 - 17.0],33.052
(0.884 - 1.466],(3 - 4],(13.0 - 63.0],(10.0 - 13.0],27.197
(1.466 - 3.204],(2 - 3],(13.0 - 63.0],(4.0 - 8.0],23.063
(0.335 - 0.42],[1 - 2],(5.0 - 8.0],(21.0 - 25.0],32.381
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],17.994
(0.587 - 0.884],[1 - 2],(1.0 - 2.0],(36.0 - 59.0],27.381
(0.42 - 0.587],[1 - 2],(13.0 - 63.0],(8.0 - 10.0],28.809
